,faceBottom_1_steps,faceBottom_1_steps_0,faceBottom_1_steps_1,faceBottom_1_steps_2,faceBottom_6_steps,faceBottom_6_steps_0,faceBottom_6_steps_1,faceBottom_6_steps_2,faceLeft_1_steps,faceLeft_1_steps_0,faceLeft_1_steps_1,faceLeft_1_steps_2,faceLeft_6_steps,faceLeft_6_steps_0,faceLeft_6_steps_1,faceLeft_6_steps_2,faceRight_1_steps,faceRight_1_steps_0,faceRight_1_steps_1,faceRight_1_steps_2,faceRight_6_steps,faceRight_6_steps_0,faceRight_6_steps_1,faceRight_6_steps_2,faceTop_1_steps,faceTop_1_steps_0,faceTop_1_steps_1,faceTop_1_steps_2,faceTop_6_steps,faceTop_6_steps_0,faceTop_6_steps_1,faceTop_6_steps_2,frameIndex,isFrontFace_1_steps,isFrontFace_1_steps_0,isFrontFace_1_steps_1,isFrontFace_1_steps_2,isFrontFace_6_steps,isFrontFace_6_steps_0,isFrontFace_6_steps_1,isFrontFace_6_steps_2,noseX_1_steps,noseX_1_steps_0,noseX_1_steps_1,noseX_1_steps_2,noseX_6_steps,noseX_6_steps_0,noseX_6_steps_1,noseX_6_steps_2,noseY_1_steps,noseY_1_steps_0,noseY_1_steps_1,noseY_1_steps_2,noseY_6_steps,noseY_6_steps_0,noseY_6_steps_1,noseY_6_steps_2,time
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.121002197265625,-0.250244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.054901123046875,0.1596832275390625,0.0,0.0,0.0,0.0,1453773922.420957
1,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.121002197265625,-0.121002197265625,-0.250244140625,-0.18084716796875,0.0,0.0,0.0,0.0,0.054901123046875,0.054901123046875,0.1596832275390625,0.035400390625,0.0,0.0,0.0,0.0,1453773922.4971929
2,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.250244140625,-0.250244140625,-0.18084716796875,-0.161102294921875,0.0,0.0,0.0,0.0,0.1596832275390625,0.1596832275390625,0.035400390625,-0.9840545654296875,0.0,0.0,0.0,0.0,1453773922.579926
3,-2.0,-2.0,-1.0,-7.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,6.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-3.0,0.0,0.0,0.0,0.0,-2.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18084716796875,-0.18084716796875,-0.161102294921875,0.0044097900390625,0.0,0.0,0.0,0.0,0.035400390625,0.035400390625,-0.9840545654296875,-3.4780426025390625,0.0,0.0,0.0,0.0,1453773922.6624
4,-1.0,-1.0,-7.0,1.0,0.0,0.0,0.0,-9.0,2.0,2.0,6.0,-4.0,0.0,0.0,0.0,3.0,-1.0,-1.0,-3.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-8.0,0.0,0.0,0.0,-6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.161102294921875,-0.161102294921875,0.0044097900390625,0.1198272705078125,0.0,0.0,0.0,-0.588958740234375,-0.9840545654296875,-0.9840545654296875,-3.4780426025390625,-6.099700927734375,0.0,0.0,0.0,-10.311813354492188,1453773922.729008
5,-7.0,-7.0,1.0,-7.0,0.0,0.0,-9.0,-16.0,6.0,6.0,-4.0,4.0,0.0,0.0,3.0,7.0,-3.0,-3.0,5.0,-3.0,0.0,0.0,0.0,-3.0,2.0,2.0,-8.0,0.0,0.0,0.0,-6.0,-6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044097900390625,0.0044097900390625,0.1198272705078125,0.041748046875,0.0,0.0,-0.588958740234375,-0.42620849609375,-3.4780426025390625,-3.4780426025390625,-6.099700927734375,-2.2496337890625,0.0,0.0,-10.311813354492188,-12.616348266601562,1453773922.795992
6,1.0,1.0,-7.0,3.0,-9.0,-9.0,-16.0,-13.0,-4.0,-4.0,4.0,-4.0,3.0,3.0,7.0,3.0,5.0,5.0,-3.0,3.0,0.0,0.0,-3.0,0.0,-8.0,-8.0,0.0,-4.0,-6.0,-6.0,-6.0,-10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1198272705078125,0.1198272705078125,0.041748046875,0.3524017333984375,-0.588958740234375,-0.588958740234375,-0.42620849609375,0.1764373779296875,-6.099700927734375,-6.099700927734375,-2.2496337890625,-1.5341033935546875,-10.311813354492188,-10.311813354492188,-12.616348266601562,-14.310134887695312,1453773922.864224
7,-7.0,-7.0,3.0,-2.0,-16.0,-16.0,-13.0,-13.0,4.0,4.0,-4.0,0.0,7.0,7.0,3.0,4.0,-3.0,-3.0,3.0,0.0,-3.0,-3.0,0.0,1.0,0.0,0.0,-4.0,-2.0,-6.0,-6.0,-10.0,-10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041748046875,0.041748046875,0.3524017333984375,0.496185302734375,-0.42620849609375,-0.42620849609375,0.1764373779296875,0.8534698486328125,-2.2496337890625,-2.2496337890625,-1.5341033935546875,-2.0551910400390625,-12.616348266601562,-12.616348266601562,-14.310134887695312,-16.400726318359375,1453773922.948652
8,3.0,3.0,-2.0,-5.0,-13.0,-13.0,-13.0,-17.0,-4.0,-4.0,0.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,-4.0,-4.0,-2.0,-3.0,-10.0,-10.0,-10.0,-15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3524017333984375,0.3524017333984375,0.496185302734375,0.3090972900390625,0.1764373779296875,0.1764373779296875,0.8534698486328125,1.32366943359375,-1.5341033935546875,-1.5341033935546875,-2.0551910400390625,-1.4246826171875,-14.310134887695312,-14.310134887695312,-16.400726318359375,-16.841354370117188,1453773923.026463
9,-2.0,-2.0,-5.0,-4.0,-13.0,-13.0,-17.0,-14.0,0.0,0.0,3.0,2.0,4.0,4.0,5.0,1.0,0.0,0.0,1.0,-5.0,1.0,1.0,3.0,1.0,-2.0,-2.0,-3.0,3.0,-10.0,-10.0,-15.0,-14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496185302734375,0.496185302734375,0.3090972900390625,0.1597442626953125,0.8534698486328125,0.8534698486328125,1.32366943359375,1.47900390625,-2.0551910400390625,-2.0551910400390625,-1.4246826171875,-1.4734039306640625,-16.400726318359375,-16.400726318359375,-16.841354370117188,-14.836715698242188,1453773923.120286
