faceBottom,faceLeft,faceRight,faceTop,frameIndex,isFrontFace,noseX,noseY,time,timestamp
-1,-1,-1,-1,6,0,166.333328247,68.6666641235,1457568649.07,1457568649.55
91,134,200,25,7,1,165.759536743,68.077507019,1457568649.61,1457568649.63
93,133,201,25,8,1,165.710037231,67.7689208984,1457568649.68,1457568649.71
90,134,200,24,9,1,166.067428589,67.164390564,1457568649.77,1457568649.8
91,133,202,22,10,1,166.217910767,67.1363372803,1457568649.87,1457568649.9
94,134,205,23,11,1,166.706130981,67.824546814,1457568649.95,1457568649.98
93,134,205,22,12,1,166.938934326,68.152381897,1457568650.02,1457568650.05
94,135,205,24,13,1,167.172805786,68.3816680908,1457568650.09,1457568650.11
93,135,204,24,14,1,167.326217651,68.4812088013,1457568650.15,1457568650.18
94,136,205,25,15,1,167.553588867,69.0134429932,1457568650.22,1457568650.24
93,135,201,27,16,1,167.670089722,69.3602218628,1457568650.29,1457568650.31
94,136,204,26,17,1,167.799545288,69.9120483398,1457568650.35,1457568650.37
95,133,204,24,18,1,167.628555298,69.8990707397,1457568650.42,1457568650.44
96,134,206,24,19,1,167.639785767,69.7680892944,1457568650.49,1457568650.51
95,133,205,23,20,1,167.811569214,69.4569854736,1457568650.56,1457568650.58
96,133,205,24,21,1,167.831542969,69.3270263672,1457568650.62,1457568650.65
94,135,203,26,22,1,167.634506226,69.1882247925,1457568650.71,1457568650.74
95,132,204,23,23,1,167.300979614,69.1374588013,1457568650.81,1457568650.85
95,132,204,23,24,1,166.969192505,69.2747116089,1457568650.91,1457568650.94
97,131,206,22,25,1,166.879516602,68.8742752075,1457568651.0,1457568651.02
95,132,206,21,26,1,166.84942627,68.5763015747,1457568651.06,1457568651.08
96,132,208,20,27,1,166.780914307,68.3653945923,1457568651.12,1457568651.14
96,132,208,20,28,1,166.684738159,68.2064285278,1457568651.18,1457568651.2
95,131,206,20,29,1,166.663284302,68.2200622559,1457568651.25,1457568651.27
95,130,206,19,30,1,166.613967896,68.1416244507,1457568651.32,1457568651.35
95,131,206,20,31,1,166.447433472,68.087890625,1457568651.4,1457568651.43
96,130,205,21,32,1,166.22618103,68.0937805176,1457568651.47,1457568651.5
96,129,205,20,33,1,166.242385864,67.9730224609,1457568651.56,1457568651.59
96,130,205,21,34,1,166.20664978,67.951133728,1457568651.67,1457568651.69
97,129,206,20,35,1,166.059204102,67.7680892944,1457568651.77,1457568651.8
95,130,206,19,36,1,165.369262695,67.4428024292,1457568651.87,1457568651.91
95,129,205,19,37,1,164.223175049,67.2532348633,1457568651.97,1457568652.0
91,129,196,24,38,1,160.194442749,66.5486526489,1457568652.05,1457568652.07
89,126,191,24,39,1,156.280654907,65.9454269409,1457568652.11,1457568652.14
-1,-1,-1,-1,40,0,145.373641968,64.6430892944,1457568652.2,1457568652.23
-1,-1,-1,-1,41,0,138.028030396,64.4834289551,1457568652.29,1457568652.31
-1,-1,-1,-1,42,0,133.360900879,66.3153839111,1457568652.39,1457568652.43
-1,-1,-1,-1,43,0,131.808532715,67.3078231812,1457568652.49,1457568652.51
-1,-1,-1,-1,44,0,134.833786011,65.4560470581,1457568652.56,1457568652.58
-1,-1,-1,-1,45,0,142.641311646,63.9851112366,1457568652.63,1457568652.65
-1,-1,-1,-1,46,0,147.485824585,63.1287117004,1457568652.69,1457568652.71
-1,-1,-1,-1,47,0,155.288635254,61.9766731262,1457568652.76,1457568652.78
87,131,203,15,48,1,160.405807495,62.0583305359,1457568652.82,1457568652.85
90,130,207,13,49,1,161.413497925,61.8275299072,1457568652.9,1457568652.92
