x,y,z,time_diff
-0.062,5.236,7.689,15
-0.574,5.088,7.418,24
-0.136,5.284,7.646,15
-0.436,5.148,7.572,24
-0.186,5.355,7.751,16
-0.331,5.153,7.844,23
-0.281,5.305,7.982,23
-0.24,5.269,7.934,16
-0.409,5.307,8.02,16
-0.224,5.253,8.051,23
-0.474,5.236,8.06,24
-0.176,5.303,8.048,15
-0.536,5.165,8.113,24
-0.036,5.3,8.089,15
-0.543,5.138,7.941,24
0.042,5.338,7.956,15
-0.569,5.143,7.86,24
0.085,5.269,7.848,15
-0.526,5.093,7.77,24
0.049,5.276,7.913,15
-0.569,5.1,7.756,24
0.013,5.179,7.837,15
-0.617,5.048,7.618,24
0.006,5.246,7.713,16
-0.671,5.086,7.553,23
-0.036,5.284,7.689,16
-0.676,5.103,7.515,23
-0.081,5.248,7.622,16
-0.474,5.093,7.575,23
-0.136,5.238,7.696,24
-0.393,5.196,7.601,15
-0.233,5.196,8.027,24
-0.257,5.138,7.872,15
-0.293,5.355,7.927,24
-0.262,5.274,7.794,15
-0.35,5.286,8.017,24
-0.195,5.255,8.094,15
-0.457,5.269,7.934,24
-0.174,5.288,8.179,15
-0.509,5.203,7.956,24
-0.019,5.317,8.222,15
-0.557,5.157,7.865,24
-0.05,5.355,8.089,16
-0.528,5.105,7.972,23
-0.005,5.319,8.101,16
-0.552,5.169,7.97,23
0.137,5.291,7.982,16
-0.602,5.122,8.101,23
0.128,5.317,8.003,16
-0.609,5.012,7.846,23
0.109,5.234,7.779,16
-0.59,4.998,7.894,23
0.03,5.326,7.917,24
-0.659,5.05,7.691,15
0.128,5.212,7.948,24
-0.64,5.007,7.677,15
0.135,5.312,7.825,24
-0.681,5.098,7.71,15
0.073,5.281,7.837,24
-0.607,5.055,7.663,15
-0.059,5.248,7.794,24
-0.567,5.146,7.513,16
-0.057,5.248,7.879,23
-0.545,5.088,7.489,16
-0.033,5.272,7.813,23
-0.607,5.093,7.337,16
-0.124,5.248,7.694,23
-0.545,5.069,7.268,16
-0.302,5.272,7.615,23
-0.412,5.226,7.268,16
-0.24,5.388,7.775,23
-0.417,5.326,7.525,16
-0.3,5.619,7.565,23
-0.369,5.341,7.322,16
-0.269,5.686,7.56,23
-0.262,5.434,7.284,16
-0.359,5.71,7.513,23
-0.195,5.45,7.682,24
-0.464,5.688,7.534,15
-0.114,5.472,7.682,24
-0.414,5.641,7.475,16
-0.159,5.495,7.932,23
-0.4,5.526,7.741,16
-0.181,5.386,7.629,23
-0.364,5.853,7.172,16
-0.067,5.398,8.194,23
-0.476,5.722,7.841,16
-0.105,5.545,8.094,23
-0.288,5.817,7.701,16
-0.059,5.548,7.934,23
-0.359,5.748,7.77,16
0.013,5.495,8.041,23
-0.4,5.805,7.777,16
0.066,5.453,7.984,23
-0.457,5.826,7.758,16
0.035,5.479,7.906,23
-0.502,5.729,7.622,16
-0.031,5.522,7.725,23
-0.567,5.76,7.696,16
0.047,5.443,7.718,24
-0.586,5.688,7.653,23
0.139,5.488,7.518,16
-0.64,5.641,7.422,23
0.182,5.56,7.375,16
-0.631,5.56,7.47,23
0.104,5.493,7.549,16
-0.569,5.553,7.503,23
0.056,5.448,7.606,16
-0.54,5.462,7.439,23
0.059,5.486,7.527,16
-0.602,5.419,7.52,23
0.006,5.445,7.465,16
-0.702,5.324,7.244,23
-0.036,5.443,7.477,16
-0.509,5.438,7.694,23
0.011,5.419,7.637,16
-0.54,5.531,7.641,23
-0.05,5.469,7.513,16
-0.628,5.474,7.51,24
0.004,5.445,7.465,15
-0.65,5.448,7.515,24
-0.074,5.381,7.477,15
-0.578,5.426,7.737,24
-0.131,5.279,7.541,15
-0.524,5.445,7.653,24
-0.069,5.279,7.515,23
-0.597,5.384,7.544,16
0.001,5.348,7.646,15
-0.581,5.429,7.722,24
0.011,5.324,7.644,23
-0.538,5.417,7.839,16
-0.048,5.374,7.639,23
-0.633,5.445,7.656,16
0.02,5.312,7.663,23
-0.655,5.35,7.801,16
0.07,5.255,7.534,23
-0.766,5.265,7.825,16
0.18,5.384,7.772,24
-0.721,5.288,7.844,15
0.044,5.172,7.66,24
-0.716,5.417,7.951,15
0.125,5.124,7.732,24
-0.776,5.369,7.913,15
0.142,5.205,7.894,24
-0.707,5.548,7.668,15
0.163,5.119,7.839,24
-0.612,5.538,7.672,15
0.016,5.3,8.094,24
-0.605,5.388,7.503,23
0.049,5.236,7.96,16
-0.557,5.317,7.444,16
-0.076,5.265,8.006,23
-0.357,5.162,7.415,23
-0.167,5.426,7.896,16
-0.309,5.084,7.756,23
-0.248,5.419,8.198,16
-0.319,5.067,7.815,24
-0.426,5.395,8.056,15
-0.038,5.067,7.644,24
-0.524,5.55,8.334,15
0.054,4.941,7.613,24
-0.597,5.686,8.201,15
0.078,4.898,7.753,24
-0.547,5.614,8.117,15
0.039,4.958,7.887,24
-0.581,5.572,7.634,15
0.068,5.012,8.236,24
-0.545,5.476,7.646,15
-0.057,5.103,8.039,24
-0.524,5.331,7.394,16
-0.107,5.226,8.113,23
-0.407,5.143,7.591,16
-0.343,5.35,7.984,23
-0.262,5.069,7.746,16
-0.409,5.346,7.939,23
-0.129,5.179,7.687,24
-0.559,5.643,8.203,15
0.051,5.265,7.425,24
-0.543,5.812,8.015,15
-0.021,5.134,7.639,24
-0.652,5.86,7.946,15
-0.405,4.972,8.351,24
-0.678,5.695,7.67,15
-0.033,5.395,8.574,24
-0.524,5.557,6.93,15
0.016,5.472,7.91,24
-0.457,5.424,7.575,15
-0.171,5.55,7.884,24
-0.302,5.191,7.758,16
-0.262,5.824,7.856,23
-0.252,5.319,7.579,16
-0.505,5.722,7.663,23
-0.221,5.165,7.734,16
-0.578,6.119,7.818,23
0.192,4.774,8.432,16
-0.719,5.986,7.33,23
0.068,5.136,7.606,16
