x,y,z,time_diff
-0.424,6.291,4.928,23
-0.428,5.588,7.092,24
-0.152,6.341,6.865,15
-0.183,6.341,8.058,16
-0.374,5.598,7.353,23
-0.552,5.979,5.147,16
-1.452,6.819,4.952,23
-0.659,6.379,6.068,16
-0.038,5.043,6.701,24
-0.293,6.205,7.111,15
-1.766,6.295,7.782,24
-2.057,4.819,7.513,23
-0.783,6.331,7.234,16
-1.704,6.052,7.958,23
0.328,5.762,7.327,16
1.584,5.983,7.941,23
0.235,6.145,7.489,16
-1.074,5.774,7.261,23
1.215,5.617,8.241,16
-0.628,5.767,7.522,23
-0.59,5.729,6.87,16
-0.374,5.505,7.87,23
-0.519,5.66,7.38,16
-0.505,5.841,7.456,23
-0.75,4.922,7.47,16
-0.226,6.338,7.113,23
-0.481,5.991,7.282,16
-1.052,5.019,7.001,24
1.004,6.155,6.482,15
-0.636,5.957,6.737,24
-0.359,5.634,7.275,15
-0.678,5.745,6.656,24
-0.712,5.586,7.439,15
-0.664,5.567,7.41,24
-0.459,5.85,7.989,15
-0.778,5.95,7.339,24
-0.428,6.005,7.484,15
-0.505,5.517,7.939,24
-0.338,5.974,7.106,23
-0.607,5.879,7.882,16
-0.169,5.898,7.291,23
-0.512,5.61,7.763,16
-0.486,6.3,7.782,23
-0.559,6.022,7.349,16
-0.198,5.953,6.704,23
-0.333,5.743,7.284,16
-0.364,5.945,7.211,24
-0.264,6.081,7.818,15
-0.324,5.607,8.498,24
0.696,5.614,8.327,15
-0.055,5.838,8.11,24
-0.145,6.112,7.372,15
-0.245,6.143,7.496,24
-0.152,6.193,7.322,15
-0.15,5.855,6.963,24
-0.269,5.798,8.256,15
-0.359,5.895,6.196,24
-0.674,6.022,7.187,15
-0.34,5.9,6.018,24
-0.443,5.6,6.706,16
-0.576,5.705,8.541,23
0.075,6.281,8.513,16
-0.367,5.917,6.711,23
-0.602,6.086,7.903,16
-0.593,5.61,7.551,23
-0.824,6.093,7.149,24
-0.55,5.669,7.834,15
-0.5,6.233,6.799,24
-0.283,6.138,7.018,15
-1.095,5.695,6.894,24
-0.255,5.374,7.599,15
-0.633,6.398,5.461,24
-0.383,5.284,7.33,15
-0.814,5.769,7.653,24
-0.067,6.707,7.472,15
-0.381,6.079,7.763,24
-0.114,6.31,7.729,15
-0.333,6.607,7.149,24
-0.35,6.505,6.527,16
-0.181,5.969,6.884,23
-0.333,6.16,6.539,16
-0.709,5.974,6.201,23
-0.445,5.703,8.879,16
0.166,6.141,8.479,23
-0.364,6.286,7.553,16
0.099,6.371,7.758,23
-0.333,6.774,6.982,16
-0.897,5.91,8.253,23
-0.457,6.3,9.02,16
-0.878,6.119,6.796,23
-1.028,5.888,7.677,16
-0.212,6.043,6.784,23
-0.716,6.331,5.832,24
-1,5.729,5.901,15
-0.724,5.857,6.582,24
-0.924,6.367,6.587,15
-0.555,5.931,5.778,24
-0.114,6.331,8.094,16
-0.367,6.293,6.896,23
-0.088,6.012,7.784,16
-0.188,5.972,6.923,23
-0.419,5.817,7.522,16
0.085,5.864,7.917,23
0.128,5.931,8.627,16
0.037,6.2,8.06,23
0.213,6.174,7.332,16
0.297,5.762,8.453,23
0.12,5.945,7.165,16
-0.081,5.931,7.668,23
-0.214,5.814,9.627,16
0.082,5.786,7.798,23
0.385,6.276,9.131,16
-0.188,6.269,9.103,23
0.054,5.898,8.694,16
-0.202,6.012,7.401,23
0.185,6.207,7.201,16
0.104,6.231,9.924,24
0.344,6.205,11.002,15
0.178,5.879,7.958,24
0.042,5.519,8.801,15
-0.04,6.162,8.084,24
0.399,5.762,7.582,23
0.223,6.038,8.175,16
-0.445,6.279,7.72,23
-0.312,5.843,6.808,16
-0.262,5.624,8.839,23
-0.014,5.993,7.951,16
-0.443,5.693,7.803,23
-0.771,5.538,8.229,16
-0.157,5.819,9.058,23
-0.628,5.695,7.315,16
-0.393,6.057,6.482,23
-0.5,5.338,8.136,16
-0.707,5.567,6.806,23
-0.526,6.005,6.042,16
-0.5,4.993,8.358,24
-0.4,5.86,7.108,15
-0.5,5.667,6.744,24
-0.59,5.35,7.084,15
-0.719,5.505,6.989,24
-0.252,5.488,8.439,15
-0.324,4.919,7.008,24
-0.388,4.938,8.57,15
-0.076,5.31,10.357,24
0.258,5.5,8.974,15
0.206,5.557,7.958,24
0.251,6.452,8.253,23
0.082,5.71,6.93,16
-0.424,4.786,8.07,23
0.487,6.474,7.891,16
0.063,4.315,8.115,23
-0.35,4.862,8.432,16
0.097,5.46,9.098,23
0.256,4.496,8.967,16
0.13,5.503,7.884,24
0.542,6.036,7.996,15
0.247,5.598,7.827,24
-0.129,5.438,8.546,15
-0.493,5.738,6.987,24
-0.628,4.374,7.822,15
-0.883,4.958,7.232,24
-0.995,4.698,6.361,15
-0.671,4.262,6.601,24
-0.745,4.965,7.579,15
-0.636,4.922,9.108,24
-0.333,4.917,10.117,15
-0.619,5.06,8.463,24
-0.402,5.122,9.562,16
-0.176,5.219,7.891,23
-0.605,5.55,7.199,16
-0.643,5.136,7.134,23
-0.486,5.524,7.394,16
-0.588,5.864,7.815,23
-0.526,5.296,7.044,24
-0.545,5.645,7.025,15
-0.64,5.726,6.844,24
-0.367,5.698,5.947,15
-0.631,5.895,5.992,24
-0.978,5.543,6.237,15
-0.952,5.538,5.973,24
-0.788,5.898,6.168,15
-1.202,6.188,5.968,24
-0.909,5.436,6.884,15
-0.919,6.105,6.684,24
-0.569,6.055,5.828,15
-0.24,6.019,7.165,24
-0.424,6.057,7.025,16
-0.552,5.538,7.532,23
-0.431,6.014,6.651,16
-0.359,5.434,7.953,23
-0.045,5.65,8.893,16
-0.281,5.598,7.872,23
0.047,5.888,9.708,16
-0.021,6.16,9.879,23
-0.129,6.081,10.084,16
-0.064,6.002,9.329,23
-0.055,6.571,7.701,16
-0.576,6.186,5.856,23
-0.126,6.171,6.665,16
-0.985,6.545,6.132,23
-0.89,5.467,6.075,24
-0.424,6.169,7.796,15
-0.262,5.764,8.129,24
0.066,6.326,8.655,15
-0.778,5.61,7.272,24
-0.89,6.252,5.549,16
-1.185,6.083,5.52,23
-1.057,5.119,5.856,16
-0.762,5.65,7.97,23
-0.619,6.033,8.477,16
-0.402,6.086,7.937,23
-0.778,6.238,6.339,16
-1.238,6.431,5.897,23
-0.924,5.531,7.439,16
-0.617,5.862,8.01,23
0.028,6.452,8.134,16
-0.3,6.129,7.453,23
-0.926,5.991,6.446,16
-0.985,5.864,5.711,23
-0.345,5.486,8.97,16
0.163,6.376,8.544,23
-0.248,6.726,7.139,16
-0.659,5.967,5.168,23
-1.221,5.572,6.753,16
-0.621,5.888,6.844,24
-0.183,5.641,8.072,15
-0.621,6.112,7.994,24
-1.409,5.917,5.268,23
-1.39,5.719,6.127,16
-0.064,6.005,6.849,23
-0.01,6.2,8.898,16
-0.536,6.126,7.239,23
-0.871,6.198,6.318,16
-1.264,5.598,6.875,23
-0.364,5.407,8.472,16
-0.007,6.386,8.51,23
-0.807,6.022,6.582,16
-0.721,5.167,6.527,23
-0.509,6.102,8.889,16
