x,y,z,time_diff
-0.255,0.054,9.489,24
-0.24,0.092,9.434,19
-0.29,0.08,9.346,20
-0.255,0.025,9.408,19
-0.271,0.059,9.453,20
-0.286,0.073,9.3,19
-0.257,0.052,9.422,20
-0.276,0.006,9.386,20
-0.307,0.04,9.393,23
-0.295,0.047,9.422,19
-0.209,0.173,9.339,20
-0.257,0.042,9.522,20
-0.421,0.004,9.198,19
-0.3,0.09,9.503,20
-0.219,0.08,9.341,19
-0.133,0.047,9.5,20
-0.305,0.059,9.374,19
-0.395,0.04,9.386,24
-0.336,0.073,9.377,19
-0.174,0.09,9.448,20
-0.24,0.052,9.434,19
-0.359,0.03,9.415,20
-0.328,0.054,9.32,19
-0.274,0.071,9.403,20
-0.176,0.044,9.479,19
-0.288,0.054,9.45,24
-0.34,0.111,9.391,19
-0.238,0.075,9.391,20
-0.238,0.073,9.472,19
-0.276,0.097,9.422,20
-0.355,0.073,9.408,19
-0.314,0.021,9.436,20
-0.24,0.056,9.417,20
-0.255,0.042,9.41,23
-0.312,0.061,9.443,19
-0.35,0.059,9.381,20
-0.259,0.052,9.441,20
-0.238,0.071,9.439,19
-0.269,0.066,9.424,20
-0.359,0.049,9.434,19
-0.3,0.042,9.36,20
-0.286,-0.005,9.474,19
-0.29,0.066,9.403,24
-0.276,0.085,9.434,19
-0.269,0.068,9.37,20
-0.274,0.066,9.465,19
-0.29,-0.012,9.412,20
-0.278,-0.019,9.448,19
-0.224,0.154,9.398,20
-0.269,0.175,9.417,19
-0.278,0.054,9.405,20
-0.326,-0.059,9.386,23
-0.295,0.021,9.403,20
-0.248,0.104,9.434,19
-0.276,0.121,9.429,20
-0.281,0.042,9.4,19
-0.274,0.03,9.365,20
-0.286,0.125,9.396,20
-0.257,0.142,9.441,19
-0.257,0.044,9.439,23
-0.281,0.044,9.424,20
-0.271,0.054,9.384,20
-0.309,0.13,9.424,19
-0.217,0.08,9.372,20
-0.309,0.025,9.481,19
-0.302,0.028,9.367,20
-0.295,0.085,9.398,19
-0.255,0.054,9.41,20
-0.262,0.023,9.45,23
-0.302,0.04,9.42,20
-0.262,0.068,9.408,19
-0.264,0.102,9.436,20
-0.286,0.078,9.384,19
-0.278,0.047,9.403,20
-0.269,0.052,9.403,19
-0.248,0.054,9.455,20
-0.271,0.08,9.372,19
-0.319,0.03,9.415,24
-0.307,0.073,9.348,19
-0.281,0.066,9.422,20
-0.286,0.113,9.372,19
-0.271,0.071,9.367,20
-0.3,0.021,9.42,20
-0.262,0.092,9.415,19
-0.226,0.092,9.455,20
-0.267,0.023,9.365,23
-0.317,0.021,9.427,20
-0.288,0.049,9.42,19
-0.281,0.063,9.415,20
-0.274,0.08,9.45,19
-0.286,0.056,9.348,20
-0.29,0.073,9.417,19
-0.264,0.066,9.4,20
-0.309,0.083,9.489,19
-0.257,0.056,9.405,24
-0.255,0.049,9.386,19
-0.264,0.049,9.47,20
-0.295,0.073,9.362,19
-0.269,0.066,9.427,20
-0.3,0.068,9.379,19
-0.262,0.044,9.396,20
-0.288,0.068,9.396,19
-0.269,0.075,9.381,20
-0.29,0.08,9.446,23
-0.309,0.037,9.42,20
-0.264,0.033,9.372,19
-0.302,0.094,9.408,20
-0.264,0.073,9.398,20
-0.288,0.059,9.479,19
-0.283,0.087,9.405,20
-0.333,0.059,9.346,19
-0.267,0.037,9.434,24
-0.264,0.075,9.367,19
-0.255,0.054,9.434,20
-0.252,0.037,9.417,19
-0.288,0.054,9.372,20
-0.29,0.033,9.45,19
-0.269,0.061,9.415,20
-0.286,0.083,9.379,19
-0.276,0.073,9.377,20
-0.302,0.037,9.35,19
-0.312,0.044,9.393,24
-0.293,0.068,9.422,19
-0.236,0.054,9.431,20
-0.286,0.061,9.393,19
-0.29,0.08,9.417,20
-0.276,0.056,9.377,19
-0.243,0.052,9.467,20
-0.238,0.03,9.398,19
-0.293,0.016,9.379,24
-0.298,0.068,9.4,19
-0.309,0.03,9.41,20
-0.248,0.037,9.353,20
-0.274,0.063,9.398,19
-0.276,0.056,9.446,20
-0.283,0.042,9.398,19
-0.295,0.078,9.403,20
-0.274,0.052,9.41,23
-0.252,0.056,9.36,20
-0.29,0.092,9.393,19
-0.293,0.104,9.374,20
-0.302,0.066,9.458,19
-0.236,0.061,9.365,20
-0.262,0.059,9.35,19
-0.24,0.094,9.362,20
-0.328,0.113,9.32,19
-0.293,0.073,9.434,24
-0.281,0.078,9.379,19
