x,y,z,time_diff
-0.052,-0.205,9.917,24
0.187,-0.026,10.472,23
-0.374,-0.147,9.862,16
0.266,-0.483,10.1,23
-0.657,-0.507,9.379,16
0.189,-0.762,9.524,23
0.228,-0.357,9.589,16
-0.505,-0.564,9.491,23
0.716,-0.293,10.226,16
-0.726,-1.052,9.736,23
0.563,-0.747,10.091,16
-0.538,-1.304,9.398,23
0.201,-0.769,10.186,16
-0.01,-0.621,9.91,24
0.082,-0.759,10.012,15
-0.117,-0.833,10.134,24
0.142,-1.314,9.938,23
-0.95,-1.071,8.893,16
0.706,-0.728,9.619,23
-0.759,-0.34,9.42,16
0.235,-0.393,9.569,23
0.349,-0.559,10.096,16
-0.764,-0.866,9.391,23
1.189,-0.878,9.788,16
-1.095,-0.933,9.355,23
0.516,-0.783,9.781,16
-0.243,-1.211,9.47,23
-0.402,-0.735,9.731,16
0.454,-0.347,10.174,23
-0.481,-0.302,10.181,16
0.197,-0.416,10.26,23
0.337,-0.809,8.97,24
-0.262,-1.092,9.115,16
0.375,-0.764,10.362,23
-0.217,-0.531,9.615,16
0.161,-0.573,9.403,23
0.094,-0.473,9.458,16
-0.509,-0.545,9.812,23
0.244,-0.633,9.929,16
0.082,-0.842,9.536,23
-0.576,-0.652,9.139,16
0.646,-0.54,10.057,23
-0.657,-0.933,8.753,16
0.287,-0.581,9.37,23
0.163,-0.469,9.56,16
-0.171,-0.554,9.76,23
0.494,-0.602,9.817,24
-0.181,-0.612,9.805,15
-0.338,-0.504,10.281,24
0.518,-0.438,10.043,15
-0.152,-0.543,9.008,24
0.516,-0.804,9.193,16
0.163,-0.723,9.608,23
-0.269,-0.804,9.296,16
0.554,-0.89,9.722,23
-0.469,-0.852,9.841,16
0.627,-0.557,10.012,23
-0.352,-0.938,9.662,16
-0.576,-0.528,9.817,23
0.463,-0.692,10.134,16
-0.481,-1.164,9.017,23
0.308,-0.552,9.289,24
0.125,-0.735,9.427,15
-0.645,-0.659,9.07,24
0.846,-0.595,9.919,15
-0.747,-0.714,9.105,24
0.235,-0.257,10.217,15
-0.071,-0.726,9.062,24
-0.507,-1.207,9.572,15
0.363,-0.845,8.901,24
-0.609,-1.083,9.239,16
-0.214,-0.895,8.908,23
0.285,-0.807,9.591,16
-0.909,-1.164,8.472,23
0.292,-0.495,9.201,16
-0.559,-0.952,8.77,23
-0.533,-0.969,8.534,24
0.416,-0.812,9.158,15
-1.145,-1.038,8.539,24
0.58,-1.228,9.262,15
-0.6,-1.276,8.977,24
-0.2,-1.28,9.289,15
0.377,-0.704,9.877,24
-0.555,-0.647,9.415,15
0.354,-0.845,9.477,24
-0.274,-0.5,9.534,15
-0.478,-0.564,9.417,24
0.392,-0.669,9.75,15
-1.047,-0.842,9.355,24
0.273,-0.754,10.076,16
-0.29,-1.04,9.31,23
-0.462,-0.838,9.962,23
-0.038,-0.759,10.196,16
-0.581,-0.826,10.153,23
0.097,-0.888,9.336,16
0.218,-0.6,9.396,24
-0.666,-0.778,9.222,15
-0.074,-0.826,9.777,24
-0.645,-0.547,9.748,15
0.013,-0.49,10.165,24
0.149,-0.216,9.846,15
-0.519,-0.695,9.491,24
0.627,-0.816,9.27,15
-0.214,-0.5,8.958,24
-0.162,-0.638,9.41,15
0.282,-0.569,9.062,24
-0.319,-0.742,9.127,23
0.089,-0.84,9.224,16
0.273,-0.45,9.498,23
-0.643,-0.847,8.884,16
0.57,-1.097,9.07,23
-0.85,-0.735,8.805,16
-0.1,-0.502,9.486,23
0.48,-0.752,8.991,16
