x,y,z,time_diff
-0.069,-0.395,10.019,16
-0.595,-0.309,9.262,23
0.449,-0.388,9.9,16
-0.921,-0.433,8.993,23
0.161,-0.578,9.648,16
-0.462,-0.371,9.16,23
-0.619,-0.5,9.405,16
0.316,-0.407,9.472,23
-1.007,-0.516,9.365,24
0.335,-0.39,9.517,15
-0.533,-0.35,9.531,24
-0.155,-0.309,9.715,15
0.111,-0.45,9.443,24
-0.843,-0.374,9.512,15
0.232,-0.483,9.191,24
-0.631,-0.557,9.562,15
-0.378,-0.388,9.155,24
0.085,-0.483,9.827,23
-0.874,-0.371,8.874,16
0.389,-0.497,9.824,23
-0.624,-0.343,9.272,16
-0.109,-0.326,9.491,23
0.189,-0.402,9.896,16
-0.957,-0.309,9.067,24
0.649,-0.464,9.979,15
-1.114,-0.316,8.989,24
0.244,-0.54,9.862,15
-0.359,-0.354,9.284,24
-0.745,-0.564,9.477,23
0.52,-0.381,9.329,16
-1.126,-0.431,9.284,23
0.451,-0.4,9.45,16
-0.545,-0.352,9.543,23
-0.278,-0.345,9.605,16
0.151,-0.433,9.429,23
-0.781,-0.369,9.453,16
0.254,-0.471,9.224,23
-0.521,-0.578,9.603,16
-0.521,-0.39,9.024,23
0.168,-0.533,9.71,24
-0.921,-0.347,8.834,15
0.294,-0.597,9.836,24
-0.59,-0.266,9.255,16
-0.267,-0.29,9.646,23
0.185,-0.352,9.922,16
-0.933,-0.431,9.172,23
0.625,-0.39,9.834,16
-0.931,-0.581,9.082,23
0.211,-0.424,9.946,24
-0.595,-0.966,9.039,15
-0.659,-0.397,9.417,24
0.399,-0.454,9.453,15
-0.75,-0.376,9.567,24
0.097,-0.485,9.417,15
-0.417,-0.181,9.7,24
-0.49,-0.378,9.548,15
0.278,-0.276,9.629,24
-0.688,-0.407,9.503,15
0.078,-0.428,9.262,24
-0.383,-0.471,9.843,23
-1.026,-0.428,8.705,16
-0.055,-0.888,9.843,23
-1.309,-0.514,8.834,16
0.358,-0.621,9.919,23
-0.436,-0.19,9.374,16
-0.469,-0.397,9.65,23
0.292,-0.29,9.612,16
-0.99,-0.316,9.267,24
0.604,-0.252,9.803,15
-0.843,-0.374,9.3,24
0.059,-0.371,9.805,23
-0.179,-0.416,9.331,16
-0.774,-0.459,9.484,23
0.244,-0.54,9.291,16
-0.966,-0.683,9.062,23
0.156,-0.283,9.146,16
-0.364,-0.685,9.315,23
-0.84,-0.545,8.908,16
0.228,-0.59,10.029,23
-0.712,-0.252,9.855,24
-0.045,-0.49,9.603,15
0.189,-0.447,9.736,24
-0.645,-0.243,9.046,15
0.93,-0.626,9.874,24
-0.819,-0.685,7.775,15
0.349,0.085,10.191,24
0.975,-0.447,9.055,16
-1.271,-0.378,9.45,23
0.197,-0.814,8.765,16
-0.809,-0.314,9.929,23
-1.009,-0.304,8.779,16
0.818,-0.452,10.043,23
-0.762,-0.526,9.303,24
-0.259,-0.293,9.379,15
-0.029,-0.478,9.667,24
-0.409,-0.214,9.389,15
-0.252,-1.161,8.634,24
-0.564,-0.662,8.577,15
0.128,-0.135,10.384,24
-1.204,-0.652,8.52,23
0.285,-0.452,9.631,16
-0.69,-0.443,9.879,23
0.178,-0.193,9.903,16
-0.517,-0.3,10.055,23
0.025,-0.335,9.277,16
0.035,-0.445,9.408,23
-0.186,-0.164,9.574,16
-0.262,-0.523,9.315,23
-0.478,-0.566,9.862,16
-0.15,-0.338,9.429,23
0.144,-0.535,9.398,24
-0.214,-0.826,8.586,16
-0.067,-0.588,9.617,23
-0.643,-0.376,9.584,16
-0.283,-0.714,9.17,23
-0.462,-0.54,9.893,16
0.199,-0.135,9.667,23
0.039,-0.435,9.479,16
-0.102,-0.304,9.303,23
-0.612,-0.45,9.065,16
-0.314,-0.393,9.824,23
0.066,-0.274,9.503,24
-0.726,-0.564,9.579,15
0.059,-0.321,9.829,24
-0.481,-0.433,9.129,15
0.032,-0.692,9.669,24
-0.388,-0.228,9.07,15
-0.369,-0.264,9.562,24
-0.057,-0.709,9.041,15
-0.464,-0.671,8.836,24
0.089,-0.45,9.724,23
-0.852,-0.116,9.529,16
0.32,-0.278,10.255,23
-0.514,-0.193,9.265,16
-0.207,-0.478,9.498,23
-0.152,-0.428,9.665,16
-0.576,-0.428,8.986,24
0.268,-0.685,9.665,15
-0.814,-0.369,8.86,24
0.249,-0.581,9.722,15
-0.586,-0.231,9.21,24
-0.471,-0.483,9.489,23
0.294,-0.359,9.708,16
-0.859,-0.424,9.151,23
0.247,-0.445,9.912,16
-0.645,-0.421,9.205,23
-0.1,-0.528,9.698,16
-0.35,-0.369,9.027,23
-0.276,-0.695,9.143,16
-0.217,-0.316,9.012,23
-0.528,-0.245,9.446,16
0.225,-0.464,9.781,23
-0.702,-0.416,9.61,24
0.173,-0.493,10.257,15
-0.486,-0.374,9.355,24
-0.136,-0.678,9.45,16
-0.188,-0.238,8.874,23
-0.617,-0.483,9.134,16
0.258,-0.207,9.27,23
-0.828,-0.345,9.688,16
0.063,-0.381,9.891,23
-0.469,-0.424,9.636,24
-0.179,-0.404,9.91,15
0.032,-0.476,9.141,24
-0.74,-0.538,9.231,15
0.18,-0.362,9.005,24
-0.588,-0.521,9.265,15
-0.252,-0.326,9.308,24
-0.188,-0.507,9.784,15
-0.333,-0.476,9.669,24
0.039,-0.438,9.286,15
-0.409,-0.424,9.519,24
-0.129,-0.419,9.02,23
-0.29,-0.59,9.443,16
-0.55,-0.345,9.036,23
-0.193,-0.431,9.636,16
-0.428,-0.407,9.089,23
-0.152,0.354,9.539,16
-0.262,0.19,9.727,23
-0.159,0.321,9.289,16
0.116,-0.021,9.71,24
-0.262,0.432,9.322,23
0,0.078,9.617,16
-0.797,0.225,8.905,23
-0.278,0.163,9.708,16
-0.126,0.375,9.962,23
-0.214,0.278,9.829,16
0.142,0.297,10.055,23
-0.643,0.325,9.139,16
0.223,0.123,9.893,23
-0.79,0.363,8.934,16
-0.01,0.173,9.639,23
-0.04,0.328,9.579,24
-0.65,0.211,9.634,15
0.354,0.113,9.865,24
-0.728,0.135,9.041,15
0.199,-0.076,9.517,24
-0.502,0.237,8.893,15
-0.295,0.028,9.367,24
-0.09,0.316,9.503,16
-0.612,0.173,9.65,23
0.275,0.199,9.841,16
-0.617,0.132,9.498,23
0.304,0.204,9.836,23
-0.364,0.132,9.086,16
-0.352,-0.012,9.267,24
-0.036,0.23,9.27,15
-0.716,0.111,9.5,24
0.13,0.097,9.519,15
-0.567,0.147,9.781,24
0.135,0.178,9.655,15
-0.29,0.154,9.377,24
-0.257,0.106,9.486,15
-0.036,0.161,8.87,24
-0.712,0,9.341,23
0.054,0.209,9.405,16
-0.669,-0.028,9.808,23
-0.064,0.218,9.531,16
-0.2,0.137,9.808,23
-0.229,0.168,9.646,16
0.132,0.056,9.077,23
-0.588,0.063,9.346,16
0.035,0.187,9.124,24
-0.536,0.033,9.727,23
-0.162,0.349,9.384,16
-0.183,0.068,9.891,23
-0.486,0.132,9.593,16
0.104,-0.038,9.381,23
-0.538,0.006,9.477,16
-0.112,0.275,8.877,23
-0.205,0.211,9.45,16
-0.407,0.304,8.922,23
0.08,0.342,9.853,16
-0.788,0.178,10.238,23
0.028,0.397,9.577,24
-0.367,0.444,8.998,15
-0.152,0.709,9.96,24
0.144,0.52,9.024,15
-0.324,0.628,8.713,24
-0.378,0.782,10.205,15
-0.283,0.437,10.295,24
-0.217,0.511,8.691,16
-0.117,0.794,8.905,23
-0.336,0.923,10.269,16
-0.229,1.023,10.215,23
-0.069,0.725,9.334,23
-0.057,0.616,8.56,16
-0.6,0.88,9.072,24
-0.174,0.923,9.988,15
-0.464,0.954,10.234,24
-0.198,0.813,9.993,15
-0.112,0.651,9.35,24
-0.357,0.628,9.177,15
-0.126,0.794,8.689,24
-0.302,1.037,9.127,23
-0.35,1.206,10.103,16
-0.25,1.006,10.319,23
-0.209,0.939,10.345,16
-0.25,0.835,9.755,23
0.189,0.701,9.241,16
0.08,0.882,9.277,23
0.023,0.64,9.062,16
0.049,1.001,9.12,23
-0.148,0.958,9.174,16
-0.033,1.037,9.579,23
-0.338,1.32,9.972,24
0.023,1.085,10.329,16
-0.079,0.766,9.139,23
-0.455,0.687,9.046,16
0.111,0.447,8.703,23
-0.226,0.68,7.532,16
-0.25,0.942,8.736,23
0.213,1.468,9.731,16
-0.417,1.358,9.534,23
-0.214,1.604,11.071,16
-0.05,1.301,10.536,23
-0.343,1.287,9.6,24
0.22,1.099,10.053,15
-0.459,1.177,9.919,24
-0.048,1.113,8.979,15
-0.152,1.192,8.596,24
