,ax,ay,az,gx,gy,gz,time_diff,timestamp_x,gz_raw,theta,faceBottom,faceLeft,faceRight,faceTop,isFrontFace,noseX,noseY,time,timestamp_y
27,-13200.0,762.0,7538.0,-29.0,11.0,0.0878048780488,0.104978084564,1449015468.28,-14.0,0.0924802817949,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
28,-13238.0,800.0,7478.0,-24.0,17.0,0.0878048780488,0.111229896545,1449015468.39,-14.0,0.102246809296,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
29,-13298.0,782.0,7542.0,-30.0,14.0,0.0878048780488,0.104907035828,1449015468.5,-14.0,0.111458158784,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
30,-13274.0,716.0,7458.0,-27.0,14.0,0.0878048780488,0.111436128616,1449015468.61,-15.0,0.121242794467,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
31,-13290.0,756.0,7528.0,-28.0,14.0,0.0268292682927,0.111968994141,1449015468.72,-13.0,0.127660529497,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
32,-13284.0,706.0,7530.0,-28.0,18.0,0.0268292682927,0.103326797485,1449015468.83,-15.0,0.130432711869,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
33,-13198.0,784.0,7498.0,-28.0,12.0,0.0268292682927,0.105032205582,1449015468.93,-17.0,0.133250649092,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
34,-13328.0,762.0,7490.0,-27.0,16.0,0.0268292682927,0.105796813965,1449015469.04,-13.0,0.136089100198,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
35,-13268.0,708.0,7472.0,-30.0,15.0,0.0268292682927,0.103416204453,1449015469.14,-15.0,0.138863681293,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
36,-13198.0,690.0,7530.0,-29.0,13.0,0.0268292682927,0.10791683197,1449015469.25,-16.0,0.141759010931,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
37,-13246.0,782.0,7386.0,-26.0,14.0,0.0268292682927,0.10332608223,1449015469.35,-15.0,0.144531174113,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
38,-13298.0,740.0,7488.0,-29.0,15.0,0.0268292682927,0.106287956238,1449015469.46,-15.0,0.147382802207,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
39,-13268.0,724.0,7540.0,-29.0,15.0,0.0268292682927,0.10352897644,1449015469.56,-16.0,0.150160408892,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
40,-13280.0,732.0,7510.0,-28.0,15.0,0.0268292682927,0.101068973541,1449015469.66,-15.0,0.152872015499,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
41,-13316.0,754.0,7462.0,-28.0,17.0,0.0268292682927,0.106353998184,1449015469.77,-15.0,0.155725415451,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
42,-13258.0,726.0,7476.0,-29.0,16.0,0.0268292682927,0.110915184021,1449015469.88,-15.0,0.158701188681,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
43,-13200.0,744.0,7518.0,-29.0,14.0,0.0878048780488,0.106067895889,1449015469.99,-14.0,0.16478069003,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
44,-13246.0,766.0,7402.0,-28.0,15.0,0.148780487805,0.101733922958,1449015470.09,-13.0,0.176815068722,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
45,-13260.0,742.0,7492.0,-27.0,16.0,0.148780487805,0.100769996643,1449015470.19,-12.0,0.191807677978,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
46,-13314.0,814.0,7492.0,-27.0,13.0,0.0878048780488,0.104464054108,1449015470.29,-14.0,0.204165011208,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
47,-13286.0,788.0,7444.0,-27.0,15.0,0.0268292682927,0.101449012756,1449015470.39,-15.0,0.209979771695,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
48,-13274.0,836.0,7488.0,-29.0,16.0,0.0268292682927,0.113980054855,1449015470.51,-16.0,0.213037773167,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
49,-13222.0,788.0,7452.0,-29.0,12.0,-0.0341463414634,0.103625059128,1449015470.61,-15.0,0.212658657097,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
50,-13360.0,566.0,7462.0,-30.0,17.0,0.0268292682927,0.10528588295,1449015470.72,-16.0,0.212273464843,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
51,-13272.0,784.0,7444.0,-28.0,15.0,0.0878048780488,0.118405103683,1449015470.84,-14.0,0.219060098834,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
52,-13274.0,746.0,7478.0,-28.0,15.0,0.0878048780488,0.102796792984,1449015470.94,-14.0,0.228086158706,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
53,-13352.0,732.0,7466.0,-28.0,16.0,-0.0341463414634,0.110230207443,1449015471.05,-16.0,0.231043554515,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
54,-13272.0,842.0,7484.0,-30.0,14.0,-0.0341463414634,0.122809886932,1449015471.17,-16.0,0.226850046181,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
55,-13280.0,812.0,7494.0,-30.0,13.0,-0.339024390244,0.10511302948,1449015471.28,-21.0,0.20723749312,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
56,-13270.0,852.0,7418.0,-35.0,17.0,-2.9,0.106602907181,1449015471.38,-63.0,0.0345927849049,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
57,-13320.0,400.0,7520.0,-31.0,21.0,-2.9,0.111433029175,1449015471.49,-91.0,-0.288562999702,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
58,-13336.0,592.0,7392.0,-27.0,17.0,0.0878048780488,0.106950044632,1449015471.6,-8.0,-0.438945196605,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
59,-13258.0,516.0,7496.0,-28.0,17.0,0.0878048780488,0.109524965286,1449015471.71,-14.0,-0.429328370385,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
60,-13316.0,580.0,7430.0,-28.0,18.0,0.0878048780488,0.108330011368,1449015471.82,-14.0,-0.419816466948,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
61,-13282.0,552.0,7446.0,-29.0,14.0,-0.0341463414634,0.103371143341,1449015471.92,-16.0,-0.417043094809,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
62,-13324.0,808.0,7414.0,-30.0,15.0,-1.80243902439,0.106707811356,1449015472.03,-45.0,-0.515032097188,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
63,-13260.0,754.0,7486.0,-35.0,19.0,-7.65609756098,0.103600978851,1449015472.13,-141.0,-1.00498892156,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
64,-13288.0,156.0,7470.0,-33.0,21.0,-7.65609756098,0.104828119278,1449015472.24,-146.0,-1.80756322989,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
65,-13338.0,-182.0,7506.0,-33.0,18.0,-3.93658536585,0.100733995438,1449015472.34,-80.0,-2.39145186442,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
66,-13366.0,0.0,7420.0,-29.0,15.0,0.270731707317,0.10556602478,1449015472.44,-11.0,-2.5849466635,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
67,-13358.0,-26.0,7424.0,-28.0,15.0,0.270731707317,0.103679895401,1449015472.55,-11.0,-2.5568772284,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
68,-13302.0,-12.0,7464.0,-28.0,14.0,0.0268292682927,0.10381603241,1449015472.65,-15.0,-2.54143142846,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
69,-13362.0,-2.0,7444.0,-28.0,15.0,0.0268292682927,0.117274999619,1449015472.77,-17.0,-2.53828502603,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
70,-13366.0,-26.0,7448.0,-28.0,16.0,0.148780487805,0.106805086136,1449015472.88,-13.0,-2.52890701846,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
71,-13338.0,-54.0,7476.0,-27.0,18.0,0.392682926829,0.111217021942,1449015472.99,-9.0,-2.49879704423,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
72,-13266.0,-358.0,7468.0,-29.0,22.0,4.0512195122,0.110069036484,1449015473.1,53.0,-2.25422901439,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
73,-13364.0,286.0,7366.0,-24.0,11.0,4.0512195122,0.105543851852,1449015473.2,51.0,-1.82664770237,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
74,-13352.0,180.0,7410.0,-27.0,14.0,2.1,0.103327035904,1449015473.31,-12.0,-1.50885406267,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
75,-13366.0,128.0,7456.0,-27.0,16.0,2.1,0.108539104462,1449015473.41,19.0,-1.2809219433,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
76,-13342.0,294.0,7396.0,-23.0,8.0,5.33170731707,0.12455201149,1449015473.54,96.0,-0.818104895731,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
77,-13282.0,576.0,7456.0,-23.0,14.0,6.79512195122,0.102137804031,1449015473.64,72.0,-0.198801040068,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
78,-13230.0,588.0,7482.0,-19.0,15.0,7.1,0.114259958267,1449015473.76,101.0,0.595026987064,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
79,-13232.0,770.0,7508.0,-15.0,12.0,16.856097561,0.108281135559,1449015473.86,261.0,1.8920237108,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
80,-13152.0,1836.0,7586.0,-16.0,-1.0,16.856097561,0.110895872116,1449015473.97,268.0,3.7612953503,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
81,-13226.0,1744.0,7422.0,-19.0,9.0,14.6,0.107719182968,1449015474.08,164.0,5.45550791461,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
