,ax,ay,az,gx,gy,gz,timestamp
0,-14544,-1396,4254,-28,14,-14,1446686095310.4539
1,-14544,-1372,4264,-27,13,-14,1446686095310.929
2,-14544,-1396,4254,-28,14,-14,1446686095311.6309
3,-14544,-1372,4264,-27,13,-14,1446686095312.264
4,-14538,-1370,4290,-29,14,-14,1446686097458.4
5,-14566,-1410,4304,-28,14,-14,1446686097560.94
6,-14512,-1344,4284,-27,14,-14,1446686097663.5388
7,-14542,-1394,4272,-28,14,-14,1446686097765.802
8,-14572,-1348,4256,-29,14,-15,1446686097868.147
9,-14588,-1356,4310,-27,14,-14,1446686097974.601
10,-14500,-1378,4292,-28,14,-14,1446686098077.1438
11,-14536,-1370,4268,-27,14,-14,1446686098179.544
12,-14558,-1376,4186,-27,14,-14,1446686098281.828
13,-14544,-1360,4250,-27,15,-14,1446686098384.2512
14,-14494,-1392,4212,-27,14,-14,1446686098486.665
15,-14522,-1350,4282,-29,14,-15,1446686098592.945
16,-14528,-1346,4232,-28,14,-14,1446686098695.6711
17,-14578,-1334,4238,-28,14,-14,1446686098797.905
18,-14542,-1386,4250,-29,14,-14,1446686098900.3242
19,-14714,-1426,3982,-23,5,-6,1446686099002.817
20,-14484,-1612,4278,-87,-11,640,1446686099109.183
21,-11194,472,3996,-396,-79,1916,1446686099211.569
22,-12084,5976,5300,-265,-47,2756,1446686099313.966
23,-11010,8850,5032,-265,-81,2626,1446686099420.398
24,-8162,11074,5684,-290,-27,2475,1446686099522.6892
25,-4980,13356,5622,-246,-27,2020,1446686099625.185
26,-894,14268,6204,-203,-84,1843,1446686099727.619
27,438,14000,6382,-181,-38,1278,1446686099830.04
28,2612,14264,6884,-63,38,-101,1446686099932.4082
29,2274,12780,7322,-10,7,-25,1446686100030.7068
30,1974,14204,6258,-4,16,-25,1446686100137.1292
31,1954,13280,6772,-46,-7,-8,1446686100239.4111
32,1060,15724,4972,-8,10,15,1446686100341.944
33,826,12430,7362,-44,21,-15,1446686100444.396
34,1376,14236,5712,-40,14,-9,1446686100546.772
35,1404,14358,7084,41,148,-295,1446686100653.322
36,-486,14526,5710,217,81,-1937,1446686100755.846
37,-3936,14282,5754,296,61,-3159,1446686100862.291
38,-7320,11866,5732,337,58,-2648,1446686100964.684
39,-10830,8916,4580,248,107,-2135,1446686101066.972
40,-12468,7644,4302,192,110,-1667,1446686101173.461
41,-14170,4132,2756,124,64,-1522,1446686101275.722
42,-15158,1930,2884,134,-62,-1489,1446686101378.244
43,-15120,4,3286,119,-190,-1566,1446686101480.784
44,-14374,-1466,4964,41,68,-611,1446686101582.8472
45,-14394,-1744,4460,-29,-20,-64,1446686101685.451
46,-14784,-1938,3812,-32,25,29,1446686101787.915
47,-14276,-2190,4372,-30,14,-14,1446686101890.187
48,-14430,-2238,4342,-29,11,-11,1446686101996.594
49,-14390,-2354,4302,-31,19,-15,1446686102099.056
50,-14360,-2282,4278,-29,11,-11,1446686102201.467
51,-14490,-2214,4172,-28,13,-12,1446686102303.7961
52,-14470,-2180,4262,-27,16,-13,1446686102406.261
53,-14458,-2122,4288,-28,14,-14,1446686102512.701
54,-14482,-2148,4172,-28,13,-14,1446686102615.243
55,-14480,-2192,4188,-28,15,-14,1446686102717.5332
56,-14468,-2150,4160,-28,14,-14,1446686102819.9412
57,-14462,-2180,4190,-28,14,-14,1446686102922.282
58,-14532,-2192,4198,-28,14,-14,1446686103024.7322
59,-14416,-2174,4294,-28,14,-14,1446686103131.313
60,-14450,-2188,4238,-28,14,-14,1446686103233.578
61,-14454,-2184,4214,-28,13,-13,1446686103335.978
62,-14464,-2148,4204,-29,14,-14,1446686103438.156
63,-14432,-2168,4260,-28,14,-13,1446686103540.567
64,-14452,-2176,4248,-28,14,-14,1446686103643.2341
65,-14472,-2138,4146,-28,14,-14,1446686103749.594
66,-14476,-2166,4130,-29,15,-14,1446686103852.012
67,-14440,-2198,4180,-27,14,-13,1446686103954.5168
68,-14472,-2190,4224,-27,14,-14,1446686104056.952
69,-14464,-2158,4186,-28,15,-14,1446686104159.344
70,-14482,-2150,4230,-28,14,-14,1446686104261.641
71,-14490,-2144,4206,-28,14,-14,1446686104368.0872
72,-14454,-2180,4238,-29,14,-14,1446686104470.488
73,-14438,-2176,4202,-28,13,-14,1446686104572.833
74,-14460,-2162,4172,-28,14,-13,1446686104675.102
