,ax,ay,az,gx,gy,gz,timestamp
0,-14798,-1198,4336,-22,12,-12,1446686024653.3
1,-14670,-1002,4242,-24,10,-53,1446686024755.668
2,-14402,-1024,4582,-27,6,1,1446686024853.967
3,-14664,-1024,4150,-28,12,-21,1446686024960.655
4,-14584,-1050,4332,-29,17,-17,1446686025063.041
5,-14466,-1102,4590,-28,15,-15,1446686025165.4712
6,-14462,-1070,4450,-28,13,-16,1446686025271.834
7,-14500,-1070,4308,-27,13,-15,1446686025374.284
8,-14502,-1062,4382,-27,14,-14,1446686025476.408
9,-14444,-1080,4396,-27,13,-15,1446686025579.0
10,-14538,-1076,4394,-28,14,-15,1446686025681.3992
11,-14538,-1078,4360,-28,15,-14,1446686025783.8882
12,-14526,-1048,4414,-28,14,-14,1446686025890.2212
13,-14534,-1088,4426,-28,14,-15,1446686025992.562
14,-14488,-1052,4368,-28,13,-14,1446686026095.0798
15,-14472,-1078,4392,-29,14,-14,1446686026197.439
16,-14494,-1102,4372,-27,14,-14,1446686026299.798
17,-14470,-1034,4394,-28,14,-13,1446686026402.199
18,-14500,-1068,4450,-27,14,-15,1446686026508.6638
19,-14512,-1064,4430,-27,14,-15,1446686026611.027
20,-14508,-1060,4434,-28,14,-15,1446686026713.5151
21,-14540,-1102,4362,-28,14,-15,1446686026815.8
22,-14508,-1094,4428,-27,14,-15,1446686026918.17
23,-14558,-1098,4346,-28,14,-14,1446686027024.894
24,-14526,-1096,4326,-28,14,-15,1446686027127.177
25,-14464,-1090,4350,-28,14,-15,1446686027229.524
26,-14500,-1056,4330,-28,14,-15,1446686027331.943
27,-14546,-950,4728,-61,-6,326,1446686027434.324
28,-14838,-702,3950,-111,-14,859,1446686027540.7861
29,-13986,1280,5002,-191,-78,1582,1446686027643.1921
30,-13486,5288,4970,-209,-44,1948,1446686027745.5708
31,-11622,9238,5190,-214,-53,2076,1446686027848.063
32,-9312,10740,5188,-207,-24,1977,1446686027954.488
33,-7274,12504,5616,-193,-36,1884,1446686028056.952
34,-4852,14022,5698,-164,-19,1747,1446686028159.3872
35,-3082,14538,5526,-223,-11,1597,1446686028261.782
36,830,13760,6332,-183,-57,1263,1446686028364.038
37,1624,13720,6674,-86,-14,912,1446686028466.454
38,1994,13144,6818,-33,17,-13,1446686028568.797
39,1994,13584,6512,11,8,-29,1446686028671.211
40,2014,13708,6632,-26,20,-20,1446686028773.712
41,2122,13600,6640,-25,16,-19,1446686028876.1858
42,2030,13742,6566,-24,19,-21,1446686028982.442
43,1992,13636,6710,-25,17,-18,1446686029084.875
44,2078,13618,6666,-27,17,-20,1446686029187.228
45,1988,13792,6496,-19,23,-30,1446686029289.8
46,2014,13796,6478,-21,20,-26,1446686029392.141
47,2122,13834,6500,-9,21,-49,1446686029494.446
48,2012,13778,6528,-17,22,-45,1446686029600.97
49,2078,13572,6658,-4,23,-68,1446686029699.341
50,1104,14766,6186,56,28,-524,1446686029805.898
51,-408,14354,5980,147,92,-1326,1446686029912.194
52,-2752,13714,6124,213,15,-2197,1446686030014.638
53,-6176,12158,5834,242,23,-2408,1446686030117.0608
54,-9242,10108,4792,255,100,-2532,1446686030223.4658
55,-12070,7566,5046,164,67,-1783,1446686030325.841
56,-12882,6212,4726,120,34,-1552,1446686030428.384
57,-14090,1792,4444,126,41,-1681,1446686030530.6958
58,-14608,156,4328,72,22,-1052,1446686030633.084
59,-14592,-280,4174,-41,-1,119,1446686030735.438
60,-14320,228,4644,-31,10,31,1446686030837.852
61,-14556,128,4268,-27,15,-21,1446686030940.2512
62,-14478,24,4428,-29,10,-16,1446686031042.6309
63,-14554,-22,4386,-28,15,-16,1446686031145.046
64,-14454,-74,4362,-26,12,-16,1446686031247.579
65,-14470,-86,4404,-27,10,-15,1446686031353.882
66,-14588,52,4294,-27,14,-14,1446686031452.344
67,-14484,6,4468,-28,14,-14,1446686031554.669
68,-14536,40,4422,-28,14,-16,1446686031661.133
69,-14432,156,4390,-34,4,-8,1446686031763.4028
70,-14676,-14,4426,-28,17,-17,1446686031865.98
71,-14372,-126,4360,-29,13,-15,1446686031972.3179
72,-14488,4,4348,-29,14,-15,1446686032070.6328
73,-14570,28,4368,-27,16,-14,1446686032173.1292
74,-14528,-32,4372,-27,15,-15,1446686032279.4731
75,-14520,0,4388,-29,14,-16,1446686032382.0059
76,-14580,6,4338,-28,15,-15,1446686032484.2998
77,-14546,-12,4330,-28,15,-15,1446686032586.7021
78,-14502,6,4406,-28,14,-15,1446686032689.064
79,-14556,-24,4402,-28,15,-15,1446686032795.533
80,-14526,-14,4360,-29,14,-14,1446686032897.9558
81,-14544,14,4344,-27,15,-15,1446686033000.507
